Longitude,Latitude,HouseAge,Population,MedInc,MedianHouseValue,AveBedrms,AveRooms,AveOccup
-122.21,37.8,39,1109,3.0682,1.565,1.077586207,4.316810345,2.390086207
-122.21,37.8,39,1221,3.0757,1.51,1.002242152,4.524663677,2.737668161
-122.2,37.8,43,1115,4.9559,2.73,1.096703297,6.692307692,2.450549451
-122.2,37.8,52,706,4.7721,2.171,1.093283582,5.77238806,2.634328358
-122.21,37.8,52,1883,3.4861,1.871,1.007082153,4.984419263,2.66713881
-122.2,37.8,41,804,5.1184,2.396,1.041176471,6.088235294,2.364705882
-122.21,37.8,48,506,4.0977,2.297,1.043650794,5.242063492,2.007936508
-122.19,37.8,48,610,4.744,2.573,1.088235294,7.117647059,2.56302521
-122.19,37.8,46,768,4.2727,2.469,1.027108434,5.837349398,2.313253012
-122.19,37.79,50,462,2.9844,1.799,1.059782609,5.260869565,2.510869565
-122.2,37.79,40,667,4.1739,1.696,1.089361702,4.510638298,2.838297872
-122.2,37.8,46,1059,3.8487,2.033,1.015037594,5.115288221,2.654135338
-122.19,37.8,52,637,4.0114,2.634,0.97833935,6.545126354,2.299638989
-122.19,37.79,45,1106,4.6563,2.318,0.99339207,5.986784141,2.436123348
-122.19,37.79,28,1737,2.9297,1.405,1.137518685,4.69955157,2.596412556
-122.2,37.79,35,1009,2.3036,1.26,1.176923077,4.620512821,2.587179487
-122.2,37.79,49,737,2.6667,1.22,0.928571429,4.2,3.50952381
-122.2,37.79,44,1354,2.619,1.347,0.920570265,3.301425662,2.757637475
-122.21,37.79,45,1530,2.4167,1.394,1.124472574,4.462025316,3.227848101
-122.2,37.79,45,1410,2.7788,1.154,1.1,4.210416667,2.9375
-122.21,37.78,46,1390,2.7352,1.373,0.892794376,3.934973638,2.44288225
-122.21,37.78,52,1065,1.8472,1.37,1.115241636,5.49070632,3.959107807
-122.21,37.78,52,792,2.6583,1.426,0.914285714,4.310204082,3.232653061
-122.21,37.78,49,779,3.0536,1.375,0.995918367,3.665306122,3.179591837
-122.22,37.78,44,2269,2.3906,1.117,1.163934426,4.86557377,3.719672131
-122.21,37.78,43,1227,1.7188,1.268,1.13022113,4.181818182,3.014742015
-122.21,37.78,47,753,2.625,1.113,1.029045643,3.65560166,3.124481328
-122.22,37.77,40,547,2.8015,1.148,0.844444444,3.659259259,4.051851852
-122.22,37.78,50,1807,1.7276,1.023,1.075,4.036363636,4.106818182
-122.22,37.78,44,1700,2.0801,1.319,1.038383838,3.38989899,3.434343434
-122.22,37.78,51,1543,2.489,1.191,1.178117048,4.165394402,3.926208651
-122.21,37.76,52,1085,1.7546,0.806,1.046666667,4.733333333,3.616666667
-122.21,37.77,52,353,4.0904,0.806,1.262773723,4.313868613,2.576642336
-122.21,37.77,52,473,2.6765,0.888,1.026845638,5,3.174496644
-122.2,37.77,49,1621,2.4338,1.024,1.031055901,4.703933747,3.35610766
-122.21,37.77,46,1183,2.3309,0.987,1.059322034,3.485875706,3.34180791
-122.21,37.77,43,836,2.2604,1,1.184115523,3.671480144,3.018050542
-122.19,37.77,42,900,1.8039,0.923,0.965779468,3.543726236,3.422053232
-122.2,37.77,39,1888,2.2562,0.948,1.111731844,5.00744879,3.515828678
-122.2,37.77,41,1024,2.0562,1.02,1.217008798,4.536656891,3.002932551
-122.2,37.78,52,1225,3.5398,1.584,1.047281324,5.437352246,2.895981087
-122.2,37.78,39,1071,3.1167,1.216,1.061170213,4.659574468,2.848404255
-122.2,37.78,50,1128,2.5401,1.291,1.066137566,4.939153439,2.984126984
-122.2,37.77,43,1537,2.898,1.214,1.037190083,5.020661157,3.175619835
-122.21,37.78,44,1240,2.3125,1.028,1.053435115,4.399491094,3.155216285
-122.19,37.78,52,469,2.875,1.6,1.071428571,6.107142857,2.791666667
-122.19,37.77,52,1086,3.3715,1.439,1.007058824,5.105882353,2.555294118
-122.19,37.77,52,1144,3.5114,1.512,1.067146283,5.585131894,2.743405276
-122.19,37.78,52,1109,4.3125,1.644,1.106666667,6.645333333,2.957333333
-122.19,37.78,52,984,3.22,1.565,1.075880759,5.956639566,2.666666667
-122.18,37.78,33,575,3.875,2.25,0.659574468,3.021276596,12.23404255
-122.19,37.78,49,496,5.2328,1.742,0.980861244,5.660287081,2.373205742
-122.19,37.78,52,555,3.7262,1.669,1.015789474,5.631578947,2.921052632
-122.2,37.78,45,869,4.5893,1.635,1.01529052,5.400611621,2.657492355
-122.18,37.79,39,236,5.2578,2.53,0.896226415,5.820754717,2.226415094
-122.18,37.79,41,626,7.0875,2.407,1.088785047,6.593457944,2.925233645
-122.18,37.79,46,922,3.9712,2.081,1.176291793,6.410334347,2.802431611
-122.19,37.79,47,582,2.9514,1.981,0.94921875,4.80078125,2.2734375
-122.19,37.79,50,546,2.6667,1.728,1.07960199,4.746268657,2.71641791
-122.18,37.81,37,620,5.4446,3.367,0.984962406,6.176691729,2.330827068
-122.18,37.8,34,442,6.2838,3.182,1,6.948717949,2.266666667
-122.18,37.8,23,955,6.7527,2.858,1.024390244,7.06402439,2.911585366
-122.13,37.77,24,916,7.0712,2.93,0.978395062,7.589506173,2.827160494
-122.16,37.79,22,4985,5.9849,3.71,1.041179461,6.528723945,2.534316218
-122.17,37.78,42,651,3.6875,1.573,0.973782772,5.707865169,2.438202247
-122.17,37.77,30,1704,2.875,1.353,1.06116643,4.731152205,2.423897582
-122.18,37.78,43,1085,3.4205,1.367,1.081081081,4.877149877,2.665847666
-122.18,37.78,50,713,3.2984,1.607,1.133802817,5.781690141,2.51056338
-122.17,37.78,49,468,3.875,1.406,0.977900552,4.933701657,2.585635359
-122.17,37.78,52,296,4.175,1.44,1.05785124,5.396694215,2.446280992
-122.16,37.77,47,570,4.375,1.619,0.995412844,5.76146789,2.614678899
-122.16,37.77,48,446,4.7708,1.563,1.077777778,5.427777778,2.477777778
-122.16,37.77,45,968,3.5739,1.76,1.033854167,6.052083333,2.520833333
-122.16,37.77,39,857,3.0958,1.458,1.10443038,5.009493671,2.712025316
-122.17,37.77,39,912,3.3958,1.419,1.062111801,5.00621118,2.832298137
-122.17,37.77,31,1360,1.871,0.907,1.17920354,5.362831858,3.008849558
-122.17,37.76,41,1074,1.9356,0.906,1.033802817,4.490140845,3.025352113
-122.17,37.76,47,965,2.1842,1.079,1.081151832,5.544502618,2.52617801
-122.18,37.76,37,933,2.2917,1.07,1.11875,4.921875,2.915625
-122.17,37.76,38,987,2.4333,0.982,1.121468927,4.983050847,2.788135593
-122.18,37.76,50,907,1.9479,0.895,1.06097561,4.825203252,3.68699187
-122.18,37.76,52,447,3.9063,0.938,1.060606061,4.56969697,2.709090909
-122.18,37.76,49,1299,1.8407,0.967,1.002217295,5.11751663,2.880266075
-122.18,37.77,27,396,2.0786,0.975,1.503184713,5.789808917,2.522292994
-122.18,37.77,42,877,2.8125,0.973,0.958955224,4.402985075,3.27238806
-122.18,37.76,43,1111,1.8913,0.912,1.111716621,5.498637602,3.027247956
-122.19,37.76,49,790,1.7056,0.914,1.048327138,5.085501859,2.936802974
-122.18,37.77,52,1479,2.2768,0.962,0.987364621,4.953068592,2.66967509
-122.18,37.77,51,1173,3.2552,1.201,1.075342466,4.810502283,2.678082192
-122.18,37.77,52,1029,2.0556,1,0.989071038,4.775956284,2.81147541
-122.19,37.76,52,1030,2.4659,0.947,1.117142857,5.782857143,2.942857143
-122.2,37.76,47,826,1.75,0.857,0.928315412,4,2.960573477
-122.19,37.77,41,1412,2.0469,0.893,1.123348018,4.484581498,3.110132159
-122.19,37.77,45,1132,2.7159,1.014,1.126074499,5.306590258,3.243553009
-122.19,37.76,41,522,1.2083,0.725,1.301886792,5.79245283,3.283018868
-122.19,37.76,45,630,1.925,0.741,1.004219409,4.198312236,2.658227848
-122.2,37.75,36,531,1.5809,0.7,0.992481203,4.556390977,3.992481203
-122.2,37.76,37,1925,1.4097,0.846,1.103448276,4.017991004,2.886056972
-122.19,37.76,38,1144,0.7683,0.818,1.054131054,4.253561254,3.259259259
-122.19,37.75,19,1481,1.3194,0.814,1.086538462,4.244230769,2.848076923
-122.19,37.75,28,435,0.8012,0.818,1.166666667,5.283950617,2.685185185
-122.19,37.76,26,984,1.9479,0.858,0.98019802,4.267326733,3.247524752
-122.19,37.74,36,567,1.1765,0.871,1.333333333,5.327044025,3.566037736
-122.18,37.74,42,380,2.3456,0.835,1.25203252,4.398373984,3.089430894
-122.19,37.73,44,825,2.1538,0.797,1.036885246,4.368852459,3.381147541
-122.19,37.74,43,417,2.5139,0.834,0.948387097,4.561290323,2.690322581
-122.19,37.73,45,801,1.2625,0.847,1.013937282,5.324041812,2.790940767
-122.18,37.73,42,646,2.9063,0.8,1.085858586,4.590909091,3.262626263
-122.18,37.73,43,855,2.5192,0.764,1.028070175,4.880701754,3
-122.18,37.73,44,435,2.1111,0.797,0.875,4.029411765,3.198529412
-122.18,37.73,42,2736,2.455,0.824,1.120512821,5.223076923,3.507692308
-122.17,37.74,41,1481,2.4028,0.977,1.074879227,3.896135266,3.577294686
-122.17,37.74,47,327,2.15,0.972,0.97810219,3.379562044,2.386861314
-122.17,37.74,43,494,2.4776,1.016,1.078212291,4.569832402,2.759776536
-122.17,37.73,43,1231,2.1587,0.865,1.08797654,4.319648094,3.609970674
-122.18,37.74,35,323,1.8438,0.905,1.155963303,4.623853211,2.963302752
-122.17,37.74,46,749,3.0298,1.076,1.004444444,4.56,3.328888889
-122.17,37.74,46,693,2.25,0.842,1.028089888,4.320224719,3.893258427
-122.18,37.74,46,1339,2.2467,0.889,1.104519774,5.940677966,3.782485876
-122.18,37.75,45,282,4.0469,0.807,0.95,4.125,3.525
-122.18,37.75,46,621,1.325,0.871,1.117948718,4.825641026,3.184615385
-122.17,37.75,38,732,1.6196,0.851,1.077220077,3.83011583,2.826254826
-122.18,37.75,45,901,2.1731,0.82,1.003846154,3.807692308,3.465384615
-122.19,37.75,36,482,1.9167,0.828,1.753333333,7.506666667,3.213333333
-122.18,37.75,43,652,2.069,0.846,1.093896714,4.863849765,3.061032864
-122.18,37.75,36,651,1.712,0.821,1.289156627,6.307228916,3.921686747
-122.17,37.76,33,999,2.5625,0.893,1.073426573,4.475524476,3.493006993
